feature,importance,fold
ACTIVE_AMT_CREDIT_SUM_SUM,1363,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,884,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,1373,1
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,828,1
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,122,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,643,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,368,1
ACTIVE_AMT_ANNUITY_MAX,393,1
ACTIVE_AMT_ANNUITY_MEAN,363,1
ACTIVE_CNT_CREDIT_PROLONG_SUM,31,1
ACTIVE_MONTHS_BALANCE_MIN_MIN,301,1
ACTIVE_MONTHS_BALANCE_MAX_MAX,95,1
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,525,1
ACTIVE_MONTHS_BALANCE_SIZE_SUM,418,1
CLOSED_DAYS_CREDIT_MIN,970,1
CLOSED_DAYS_CREDIT_MAX,1909,1
CLOSED_DAYS_CREDIT_MEAN,1039,1
CLOSED_DAYS_CREDIT_VAR,1651,1
CLOSED_DAYS_CREDIT_ENDDATE_MIN,1034,1
CLOSED_DAYS_CREDIT_ENDDATE_MAX,1730,1
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,1247,1
CLOSED_DAYS_CREDIT_UPDATE_MEAN,1374,1
CLOSED_CREDIT_DAY_OVERDUE_MAX,0,1
CLOSED_CREDIT_DAY_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,891,1
CLOSED_AMT_CREDIT_SUM_MAX,1176,1
CLOSED_AMT_CREDIT_SUM_MEAN,1587,1
CLOSED_AMT_CREDIT_SUM_SUM,1468,1
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,119,1
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,54,1
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,60,1
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,149,1
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,65,1
CLOSED_AMT_ANNUITY_MAX,358,1
CLOSED_AMT_ANNUITY_MEAN,307,1
CLOSED_CNT_CREDIT_PROLONG_SUM,11,1
CLOSED_MONTHS_BALANCE_MIN_MIN,344,1
CLOSED_MONTHS_BALANCE_MAX_MAX,188,1
CLOSED_MONTHS_BALANCE_SIZE_MEAN,677,1
CLOSED_MONTHS_BALANCE_SIZE_SUM,395,1
PREV_AMT_ANNUITY_MIN,1208,1
PREV_AMT_ANNUITY_MAX,1002,1
PREV_AMT_ANNUITY_MEAN,1124,1
PREV_AMT_APPLICATION_MIN,553,1
PREV_AMT_APPLICATION_MAX,483,1
PREV_AMT_APPLICATION_MEAN,908,1
PREV_AMT_CREDIT_MIN,816,1
PREV_AMT_CREDIT_MAX,763,1
PREV_AMT_CREDIT_MEAN,1108,1
PREV_APP_CREDIT_PERC_MIN,1060,1
PREV_APP_CREDIT_PERC_MAX,707,1
PREV_APP_CREDIT_PERC_MEAN,1189,1
PREV_APP_CREDIT_PERC_VAR,1653,1
PREV_AMT_DOWN_PAYMENT_MIN,483,1
PREV_AMT_DOWN_PAYMENT_MAX,967,1
PREV_AMT_DOWN_PAYMENT_MEAN,905,1
PREV_AMT_GOODS_PRICE_MIN,960,1
PREV_AMT_GOODS_PRICE_MAX,287,1
PREV_AMT_GOODS_PRICE_MEAN,854,1
PREV_HOUR_APPR_PROCESS_START_MIN,453,1
PREV_HOUR_APPR_PROCESS_START_MAX,577,1
PREV_HOUR_APPR_PROCESS_START_MEAN,1612,1
PREV_RATE_DOWN_PAYMENT_MIN,496,1
PREV_RATE_DOWN_PAYMENT_MAX,708,1
PREV_RATE_DOWN_PAYMENT_MEAN,1007,1
PREV_DAYS_DECISION_MIN,770,1
PREV_DAYS_DECISION_MAX,1696,1
PREV_DAYS_DECISION_MEAN,1212,1
PREV_CNT_PAYMENT_MEAN,1350,1
PREV_CNT_PAYMENT_SUM,677,1
PREV_NAME_CONTRACT_TYPE_CASHLOANS_MEAN,373,1
PREV_NAME_CONTRACT_TYPE_CONSUMERLOANS_MEAN,226,1
PREV_NAME_CONTRACT_TYPE_REVOLVINGLOANS_MEAN,281,1
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0,1
PREV_NAME_CONTRACT_TYPE_NAN_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,803,1
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,869,1
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,864,1
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,581,1
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,909,1
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,761,1
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,809,1
PREV_WEEKDAY_APPR_PROCESS_START_NAN_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,31,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,28,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_NAN_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_BUILDINGAHOUSEORANANNEX_MEAN,44,1
PREV_NAME_CASH_LOAN_PURPOSE_BUSINESSDEVELOPMENT_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_BUYINGAGARAGE_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_BUYINGAHOLIDAYHOMELAND_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_BUYINGAHOME_MEAN,0,1
